"dam","fosternest","tarsus","weight","mean_weight","mean_ratio"
"1","R187537","A1002",14.69,10,9.64444444444444,0.985195420450059
"2","R187537","A1002",14.77,9.8,9.64444444444444,0.985195420450059
"3","R187537","A1002",14.92,9.7,9.64444444444444,0.985195420450059
"4","R187537","A1002",14.54,9.6,9.64444444444444,0.985195420450059
"5","R187563","A1002",13.25,9.3,9.64444444444444,0.985195420450059
"6","R187563","A1002",13.63,9.2,9.64444444444444,0.985195420450059
"7","R187563","A1002",14.01,9.2,9.64444444444444,0.985195420450059
"8","R187563","A1002",14.69,10.1,9.64444444444444,0.985195420450059
"9","R187563","A1002",14.39,9.9,9.64444444444444,0.985195420450059
"10","R187539","A102",14.16,9.8,9.66666666666667,0.98746545598105
"11","R187539","A102",14.08,9.5,9.66666666666667,0.98746545598105
"12","R187539","A102",15.14,10.1,9.66666666666667,0.98746545598105
"13","R187539","A102",13.1,8.8,9.66666666666667,0.98746545598105
"14","R187566","A102",14.61,9.4,9.66666666666667,0.98746545598105
"15","R187566","A102",14.69,9.9,9.66666666666667,0.98746545598105
"16","R187566","A102",14.39,9.6,9.66666666666667,0.98746545598105
"17","R187566","A102",14.46,9.8,9.66666666666667,0.98746545598105
"18","R187566","A102",15.14,10.1,9.66666666666667,0.98746545598105
"19","R186910","A1202",14.54,10.2,9.7,0.990870509277536
"20","R186910","A1202",13.48,9.1,9.7,0.990870509277536
"21","R186910","A1202",14.77,10.4,9.7,0.990870509277536
"22","R186910","A1202",14.08,9.2,9.7,0.990870509277536
"23","R186910","A1202",15.07,10.3,9.7,0.990870509277536
"24","R186910","A1202",14.08,9.5,9.7,0.990870509277536
"25","R186910","A1202",13.86,9.2,9.7,0.990870509277536
"26","R187518","A1302",14.69,9.7,9.8375,1.00491635412554
"27","R187518","A1302",14.77,10.1,9.8375,1.00491635412554
"28","R187518","A1302",14.12,9.4,9.8375,1.00491635412554
"29","R187518","A1302",14.61,9.9,9.8375,1.00491635412554
"30","R187518","A1302",14.08,9.7,9.8375,1.00491635412554
"31","R187528","A1302",14.77,10.1,9.8375,1.00491635412554
"32","R187528","A1302",14.01,9.7,9.8375,1.00491635412554
"33","R187528","A1302",15.07,10.1,9.8375,1.00491635412554
"34","R187916","A1602",14.24,9.5,9.55454545454545,0.976012094892869
"35","R187916","A1602",14.01,9.4,9.55454545454545,0.976012094892869
"36","R187916","A1602",13.86,9.4,9.55454545454545,0.976012094892869
"37","R187916","A1602",13.93,9.2,9.55454545454545,0.976012094892869
"38","R187598","A1602",13.71,9.2,9.55454545454545,0.976012094892869
"39","R187598","A1602",14.31,10,9.55454545454545,0.976012094892869
"40","R187598","A1602",14.01,9.7,9.55454545454545,0.976012094892869
"41","R187598","A1602",14.16,9.4,9.55454545454545,0.976012094892869
"42","R187598","A1602",14.46,9.8,9.55454545454545,0.976012094892869
"43","R187598","A1602",14.77,10,9.55454545454545,0.976012094892869
"44","R187598","A1602",14.16,9.5,9.55454545454545,0.976012094892869
"45","R187515","A1802",15.37,10.5,9.6875,0.989593614291354
"46","R187515","A1802",13.86,9.3,9.6875,0.989593614291354
"47","R187515","A1802",14.54,10,9.6875,0.989593614291354
"48","R187527","A1802",14.01,9.4,9.6875,0.989593614291354
"49","R187527","A1802",14.73,10.3,9.6875,0.989593614291354
"50","R187527","A1802",13.4,9,9.6875,0.989593614291354
"51","R187527","A1802",14.31,9.8,9.6875,0.989593614291354
"52","R187527","A1802",13.25,9.2,9.6875,0.989593614291354
"53","R186903","A18B02",14.69,10.2,9.8,1.001085669167
"54","R186903","A18B02",14.46,9.6,9.8,1.001085669167
"55","R186903","A18B02",14.69,9.9,9.8,1.001085669167
"56","R186903","A18B02",14.61,10.1,9.8,1.001085669167
"57","Fem2","A18B02",14.39,9.5,9.8,1.001085669167
"58","Fem2","A18B02",14.69,9.5,9.8,1.001085669167
"59","Fem2","A18B02",14.77,9.8,9.8,1.001085669167
"60","R187512","A2202",14.39,10,9.71111111111111,0.992005527043032
"61","R187512","A2202",13.71,9.1,9.71111111111111,0.992005527043032
"62","R187512","A2202",15.37,10.6,9.71111111111111,0.992005527043032
"63","R187512","A2202",13.86,9.1,9.71111111111111,0.992005527043032
"64","P322402","A2202",14.69,9.9,9.71111111111111,0.992005527043032
"65","P322402","A2202",13.93,9.3,9.71111111111111,0.992005527043032
"66","P322402","A2202",14.99,9.8,9.71111111111111,0.992005527043032
"67","P322402","A2202",14.46,9.9,9.71111111111111,0.992005527043032
"68","P322402","A2202",14.24,9.7,9.71111111111111,0.992005527043032
"69","R187343","A22B02",13.86,9.3,9.41428571428571,0.961684338164796
"70","R187343","A22B02",13.93,9.3,9.41428571428571,0.961684338164796
"71","R187569","A22B02",14.16,9.7,9.41428571428571,0.961684338164796
"72","R187569","A22B02",14.01,9.5,9.41428571428571,0.961684338164796
"73","R187569","A22B02",13.93,9.2,9.41428571428571,0.961684338164796
"74","R187569","A22B02",13.4,9.2,9.41428571428571,0.961684338164796
"75","R187569","A22B02",14.24,9.7,9.41428571428571,0.961684338164796
"76","R187562","A2302",13.02,9,9.61111111111111,0.981790367153573
"77","R187562","A2302",13.93,9.8,9.61111111111111,0.981790367153573
"78","R187562","A2302",14.61,9.8,9.61111111111111,0.981790367153573
"79","R187562","A2302",14.54,9.9,9.61111111111111,0.981790367153573
"80","R187568","A2302",13.63,9.1,9.61111111111111,0.981790367153573
"81","R187568","A2302",14.39,9.8,9.61111111111111,0.981790367153573
"82","R187568","A2302",14.54,9.7,9.61111111111111,0.981790367153573
"83","R187568","A2302",14.69,10,9.61111111111111,0.981790367153573
"84","R187568","A2302",13.93,9.4,9.61111111111111,0.981790367153573
"85","R186911","A2502",14.84,9.7,9.8,1.001085669167
"86","R186911","A2502",14.01,10.1,9.8,1.001085669167
"87","R186909","A2502",14.39,9.6,9.8,1.001085669167
"88","R187528","A2602",14.46,9.7,9.79166666666667,1.00023440584287
"89","R187528","A2602",14.61,10,9.79166666666667,1.00023440584287
"90","R187528","A2602",14.16,9.4,9.79166666666667,1.00023440584287
"91","R187528","A2602",14.08,9.4,9.79166666666667,1.00023440584287
"92","R187528","A2602",14.08,9.5,9.79166666666667,1.00023440584287
"93","R187518","A2602",14.77,9.9,9.79166666666667,1.00023440584287
"94","R187518","A2602",14.84,10.1,9.79166666666667,1.00023440584287
"95","R187518","A2602",13.93,9.5,9.79166666666667,1.00023440584287
"96","R187518","A2602",14.69,10,9.79166666666667,1.00023440584287
"97","R187518","A2602",13.86,9.7,9.79166666666667,1.00023440584287
"98","R187518","A2602",15.37,10.4,9.79166666666667,1.00023440584287
"99","R187518","A2602",14.31,9.9,9.79166666666667,1.00023440584287
"100","R187563","A2702",14.54,10,9.94285714285714,1.01567875472337
"101","R187563","A2702",14.46,9.5,9.94285714285714,1.01567875472337
"102","R187563","A2702",14.61,9.8,9.94285714285714,1.01567875472337
"103","R187563","A2702",14.61,9.5,9.94285714285714,1.01567875472337
"104","R187537","A2702",15.07,10.3,9.94285714285714,1.01567875472337
"105","R187537","A2702",14.54,9.7,9.94285714285714,1.01567875472337
"106","R187537","A2702",15.98,10.8,9.94285714285714,1.01567875472337
"107","R187566","A302",14.69,9.9,9.91111111111111,1.01243584682195
"108","R187566","A302",14.77,10.1,9.91111111111111,1.01243584682195
"109","R187566","A302",15.3,10.3,9.91111111111111,1.01243584682195
"110","R187566","A302",15.14,10,9.91111111111111,1.01243584682195
"111","R187539","A302",14.46,9.7,9.91111111111111,1.01243584682195
"112","R187539","A302",13.93,9.6,9.91111111111111,1.01243584682195
"113","R187539","A302",14.69,9.9,9.91111111111111,1.01243584682195
"114","R187539","A302",14.54,9.6,9.91111111111111,1.01243584682195
"115","R187539","A302",14.69,10.1,9.91111111111111,1.01243584682195
"116","R187569","A502",14.69,10,9.6625,0.987039824318989
"117","R187569","A502",15.3,10.3,9.6625,0.987039824318989
"118","R187569","A502",14.69,9.7,9.6625,0.987039824318989
"119","R187569","A502",14.54,9.8,9.6625,0.987039824318989
"120","R187343","A502",13.86,9.3,9.6625,0.987039824318989
"121","R187343","A502",14.01,9.5,9.6625,0.987039824318989
"122","R187343","A502",14.16,9.4,9.6625,0.987039824318989
"123","R187343","A502",13.93,9.3,9.6625,0.987039824318989
"124","R187568","A602",14.99,9.9,9.49166666666667,0.969588926174497
"125","R187568","A602",14.92,9.7,9.49166666666667,0.969588926174497
