YEAR	FEPC	MAGEO	FAGEO	FTAR	MTAR
2009	0	2	2	16	17
2009	0	1	2	16.8	17
2011	0	1	2	15.7	17
2012	0	2	2	16.9	17
2012	0	1	1	17.4	17
2012	0	1	1	17.2	17
2011	0	1	1	16.5	18
2012	0	1	1	16.7	15.9
2009	0	1	1	16.8	16.1
2012	0	2	1	16	16.3
2012	0	2	1	17.1	16.6
2012	0	1	1	16.2	16.6
2010	1	1	1	16.3	17
2012	1	1	1	16.2	17
2011	1	1	1	17.1	18
2012	1	1	1	15.9	15.9
2012	0	1	1	16.5	16.7
2011	1	1	1	16.9	16.3
2010	0	2	2	NA	16.8
2011	0	1	2	17	16.8
2011	1	1	1	16.6	16.5
2009	0	2	2	16.5	16.9
2012	0	1	1	16.3	16.7
2012	0	1	1	16.5	16.7
2009	0	1	1	16.4	16.8
2010	0	NA	2	NA	16.9
2011	0	2	2	16.4	16.9
2009	0	1	1	16.7	16.9
2012	0	1	2	17.2	16.9
2012	0	1	2	16.9	16.9
2010	0	2	2	16.72	17.05
2011	0	1	1	16.5	16.9
2010	0	2	2	16.5	17.2
2010	0	2	2	16.2	17.2
2009	1	2	1	16.9	16.6
2011	1	2	1	16.3	16.6
2012	1	1	1	15.6	16.6
2010	0	2	2	16.7	17.2
2010	0	2	2	16.5	17.2
2009	1	1	1	16.6	16.7
2012	0	2	1	16.5	16.9
2012	0	2	2	17.1	17.2
2009	0	NA	1	NA	17.1
2011	0	1	1	16.3	17.1
2012	0	1	1	16.9	17.1
2012	0	2	1	16.7	17.1
2009	0	2	1	17	17.2
2010	0	2	1	15.1	17.2
2011	0	2	2	15.6	17.4
2011	0	2	2	16.5	17.4
2012	0	2	2	15.8	17.4
2012	0	2	2	16.7	17.5
2009	0	2	2	16.5	17.6
2009	0	1	2	16.2	17.6
2012	1	1	1	16.7	16.7
2012	1	1	1	NA	16.7
2011	0	2	2	15.9	17.6
2010	1	1	1	17.3	16.8
2009	1	1	1	NA	16.9
2011	1	1	1	17.1	16.9
2009	1	NA	1	NA	17.1
2009	1	2	1	15.1	17.1
2012	1	2	1	15.9	17.1
2012	1	1	1	16.4	17.1
2012	1	1	1	17	17.1
2012	0	1	2	16.7	17.7
2012	0	1	1	17.2	17.2
2009	0	1	1	16.9	17.3
2009	0	NA	1	NA	17.3
2011	0	2	1	16.4	17.3
2012	0	1	1	16.9	17.3
2010	0	1	1	15.7	17.4
2010	0	2	1	16.2	17.4
2011	0	1	1	17.1	17.4
2012	0	2	2	16.3	17.7
2012	0	1	2	15.9	17.8
2010	0	2	2	16.7	17.9
2012	0	1	1	17.1	17.4
2012	0	1	1	16.3	17.5
2011	0	2	2	16.81	18.06
2012	0	1	2	16.9	18.4
2010	0	NA	2	NA	18.8
2012	0	NA	2	16.2	NA
2011	0	1	1	17.1	17.7
2010	1	NA	2	15.7	16.1
2012	0	1	1	17.9	17.7
2009	1	NA	2	NA	16.4
2010	1	2	2	16.6	16.5
2012	1	1	2	16.7	16.6
2012	1	1	2	15.7	16.6
2009	1	2	2	16.7	16.7
2010	1	2	2	17.2	16.8
2012	0	NA	1	16.9	NA
2010	1	NA	2	16.4	17.2
2010	0		1	16.83	
2011	1	2	1	16.7	17.2
2011	1	2	2	16.5	17.2
2012	1	1	2	17.1	17.2
2011	1	1	2	17	17.3
2012	1	2	1	17.1	17.3
2012	1	1	1	17.1	17.3
2009	1	1	1	15.8	17.4
2011	1	1	1	17.4	17.4
2012	1	2	2	17.3	17.4
2012	1	1	2	16.2	17.4
2011	1	2	2	17.3	17.5
2012	1	1	1	15.7	17.5
2009	1	2	1	17.1	17.6
2011	1	1	2	16.85	17.62
2011	1	2	1	NA	17.7
2012	1	1	1	16.6	17.7
2012	1	1	1	16.7	17.7
2011	1	1	NA	16	17.9
2012	1	1	1	16.3	17.9
