"tarsus","back","dam","fosternest","hatchdate","sex","weight","habitat","bill_length","bill_depth"
13.55,551.375705380056,"R187557","F2102",47,"Fem",8.9,"park",10.885,0.597
15.07,549.088417489622,"R187559","F1902",47,"Male",10.5,"forest",12.056,0.682
14.99,550.173924710717,"R187568","A602",47,"Male",9.9,"forest",12,0.673
14.69,550.306701641329,"R187518","A1302",45,"Male",9.7,"forest",11.733,0.639
14.46,549.63916093207,"R187528","A2602",45,"Fem",9.7,"forest",11.565,0.631
13.93,551.86926623202,"R187945","C2302",49,"Fem",9.3,"forest",11.165,0.626
13.93,549.4878107474,"Fem3","C1902",47,"Male",9.3,"park",11.154,0.591
15.45,548.391084907629,"R187030","C1302",46,"Fem",10.2,"forest",12.348,0.675
14.31,550.080977849289,"R187517","C602",44,"Fem",9.5,"park",11.434,0.629
14.46,549.852316998797,"R187523","B2202",46,"Fem",9.6,"forest",11.564,0.609
14.99,547.740314921298,"R186902","B1402",52,"Male",10,"forest",11.977,0.636
14.08,548.9847322361,"R187400","B1002",47,"Fem",9.7,"park",11.251,0.685
14.77,551.192012242328,"R187932","B502",49,"Male",9.9,"park",11.828,0.638
13.63,549.274315922552,"R187582","D1202",48,"Male",9.2,"forest",10.904,0.612
16.81,548.370755932211,"R187545","D1002",47,"Male",11.4,"park",13.399,0.797
14.24,551.192131760433,"R187546","D902",47,"Fem",9.8,"park",11.409,0.679
14.92,551.506561861297,"R187590","D202",49,"Fem",10.1,"forest",11.929,0.7
14.46,549.749385916539,"R187548","E902",48,"Fem",9.6,"park",11.512,0.669
15.37,552.387352038039,"R187594","E302",49,"Male",10.4,"forest",12.259,0.641
13.4,549.009998562049,"R187588","F2402",47,"Fem",8.9,"park",10.674,0.577
14.08,548.551472203959,"R187557","F2102",47,"Fem",9.2,"forest",11.258,0.621
13.93,550.919233480482,"R187559","F1902",47,"Fem",9.6,"forest",11.113,0.638
13.86,548.790027619881,"R187531","F1702",46,"Fem",9,"forest",11.106,0.599
14.92,549.668640034243,"R187592","F1102",47,"Male",10.1,"park",11.899,0.65
15.22,548.843459351014,"R187575","F902",47,"Male",10.4,"park",12.163,0.657
13.63,548.305434777149,"R186912","F102",54,"Male",9.5,"forest",10.866,0.619
14.61,549.316160440119,"R187914","G1202",49,"Fem",9.8,"forest",11.7,0.631
14.84,549.08504135489,"R187955","G602",49,"Fem",9.9,"forest",11.842,0.631
14.31,550.377925363312,"R187535","G102",47,"Male",9.7,"forest",11.45,0.686
14.92,549.434518956114,"K983388","H1302",48,"Male",9.8,"forest",11.929,0.682
